file_path,transcript,duration,segment_index,speaker_role,stress_score,Manual_Risk_Label,y_true,pred_label
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_0_seg_0.wav,SIERRA DELTA MIKE,1.42,0,UNKNOWN,0.35873443143994055,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1000_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE GOOD BYE LUFTHANSA NINER ALPHA FOXTROT,4.25,1,UNKNOWN,0.3333390898488656,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1001_seg_0.wav,CSA ZERO TWO FIVE HEADING THREE ONE FIVE DESCEND FLIGHT LEVEL NINER ZERO,2.75,2,UNKNOWN,0.4383991066277791,Elevated,2,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1002_seg_0.wav,TWINSTAR EIGHT EIGHT SEVEN DESCEND FOUR THOUSAND FEET CLEARED ILS APPROACH RUNWAY THREE ONE REPORT WHEN ESTABLISHED,0.78,3,UNKNOWN,0.4001049194046257,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1003_seg_0.wav,ARE CLEARED TO LAND RUNWAY TWO FOUR CSA ONE DELTA ZULU,2.44,4,UNKNOWN,0.40784885206508364,Elevated,2,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1004_seg_0.wav,ONE TWO SEVEN ONE TWO FIVE CSA SEVEN,4.19,5,UNKNOWN,0.3195396992201892,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1005_seg_0.wav,LUFTHANSA NINER ALPHA HOTEL CLIMB TO FLIGHT LEVEL THREE FOUR ZERO,2.88,6,UNKNOWN,0.27490606825942226,Moderate,1,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1006_seg_0.wav,LUFTHANSA NINER JULIETT CHARLIE TRAFFIC INFORMATION HELICOPTER JUST LANDING ON HELIPORT,5.45,7,UNKNOWN,0.2629142691073603,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1007_seg_0.wav,RUNWAY ONE THREE HELLO AUSTRIAN SEVEN,1.32,8,UNKNOWN,0.3598464725593366,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1008_seg_0.wav,PRESENT HEADING,4.84,9,UNKNOWN,0.4165805137050147,Elevated,2,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1009_seg_0.wav,DESCENDING LEVEL SEVEN ZERO CSA SEVEN THREE TWO THREE,2.13,10,UNKNOWN,0.6124373881084052,Moderate,1,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_100_seg_0.wav,LUFTHANSA ONE FOUR NINER TWO PRAHA GOOD EVENING RADAR CONTACT REPORT REQUESTED FLIGHT LEVEL,4.118,11,UNKNOWN,0.692830170251343,Elevated,2,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1010_seg_0.wav,CSA NINER SEVEN SEVEN RUNWAY THREE ONE CLEARED TO LAND WIND ONE EIGHT ZERO DEGREES TWO KNOTS,1.43,12,UNKNOWN,0.6067555689500884,Critical,3,2
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1011_seg_0.wav,TANGO TWO ONE THREE TAXI TO PARKING IS APPROVED,5.87,13,UNKNOWN,0.5526920491873313,Moderate,1,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1012_seg_0.wav,HOTEL GOLF YANKEE WE APPRECIATE THE SHORTCUT,2.9,14,UNKNOWN,0.3883909127263077,Moderate,1,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1013_seg_0.wav,JUMP RUN EIGHT ZERO THREE VACATE TO THE LEFT TAXI CHARLIE ALPHA STAND WESTERN APRON,3.34,15,UNKNOWN,0.2377242390029566,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1014_seg_0.wav,GOOD AFTERNOON AIRFRANS ONE SEVEN EIGHT TWO RADAR RADAR CONTACT DESCEND FLIGHT LEVEL,2.39,16,UNKNOWN,0.2546785227025544,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1015_seg_0.wav,THANK YOU BREAK BREAK HOTEL GOLF OSCAR HELICOPTER ON YOUR RIGHT HAND SIDE WE WILL CROSS BEHIND YOU,2.86,17,UNKNOWN,0.20216942706580193,Moderate,1,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1016_seg_0.wav,LINE UP RUNWAY ONE THREE,1.71,18,UNKNOWN,0.21539944159766805,Moderate,1,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1017_seg_0.wav,LUFTHANSA FIVE MIKE ECHO SORRY SAY AGAIN,5.32,19,UNKNOWN,0.3241505642353359,Low,0,0
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1018_seg_0.wav,ROGER LINE UP RUNWAY THREE ONE LINING UP THREE ONE LOT FIVE ROMEO,2.8,20,UNKNOWN,0.4528911640932727,Low,0,1
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1019_seg_0.wav,DIRECT OSCAR KILO GOLF VICTOR DELTA XRAY,3.48,21,UNKNOWN,0.4022262653777094,Elevated,2,1
